record,subject_cluster,segment,trajectory,pli_amplitude,noise,comparison,output_snr_difference_db,frequency_mae_difference_hz,tracker_call_difference,grid_evaluation_difference
100,subject_100,0,F0,0.2,none,A3_minus_A2,0.0015491532667226693,-0.0012746572494506808,-36,-1152
100,subject_100,0,F0,0.2,none,A3_minus_B4,0.0021519568924084354,-0.003665447235107422,-13,-416
100,subject_100,0,F0,0.2,20dB,A3_minus_A2,0.0011538325446487363,-0.0010148525238037123,-45,-1440
100,subject_100,0,F0,0.2,20dB,A3_minus_B4,-0.0035507043500579982,-0.004829835891723637,3,96
100,subject_100,0,F0,0.5,none,A3_minus_A2,0.0003052049483152075,-0.0004099607467651367,-37,-1184
100,subject_100,0,F0,0.5,none,A3_minus_B4,0.006435253171508393,-0.004754090309143066,0,0
100,subject_100,0,F0,0.5,20dB,A3_minus_A2,0.0016279969337702482,0.00013544559478759904,-73,-2336
100,subject_100,0,F0,0.5,20dB,A3_minus_B4,-0.0001685411821359395,0.0015700101852416997,16,512
100,subject_100,0,F1,0.2,none,A3_minus_A2,-6.091139348285424e-05,-0.0005593061447143471,-29,-928
100,subject_100,0,F1,0.2,none,A3_minus_B4,-0.0004504148340096492,0.0011764764785766602,-6,-192
100,subject_100,0,F1,0.2,20dB,A3_minus_A2,-0.00020541553026554027,0.00018582344055174949,-48,-1536
100,subject_100,0,F1,0.2,20dB,A3_minus_B4,-0.0003736616960114958,0.005178403854370114,-4,-128
100,subject_100,0,F1,0.5,none,A3_minus_A2,0.0003802643647823345,-0.0005721330642700223,-31,-992
100,subject_100,0,F1,0.5,none,A3_minus_B4,0.00011472684735380767,5.285739898681918e-05,-8,-256
100,subject_100,0,F1,0.5,20dB,A3_minus_A2,0.0005624812508422394,0.0013870000839233398,-51,-1632
100,subject_100,0,F1,0.5,20dB,A3_minus_B4,-4.6050069927972004e-05,0.0009362220764160128,14,448
100,subject_100,0,F2,0.2,none,A3_minus_A2,-0.0008160373692227552,0.0003677368164062278,-32,-1024
100,subject_100,0,F2,0.2,none,A3_minus_B4,-0.0008124266892295395,-0.002339053153991688,-8,-256
100,subject_100,0,F2,0.2,20dB,A3_minus_A2,-0.0007546273566880757,-0.0001838684082031139,-51,-1632
100,subject_100,0,F2,0.2,20dB,A3_minus_B4,0.0002309184547595322,-0.0023453235626220703,2,64
100,subject_100,0,F2,0.5,none,A3_minus_A2,4.08341719246863e-05,0.0004195213317871038,-35,-1120
100,subject_100,0,F2,0.5,none,A3_minus_B4,0.0012987687956016458,-0.004020714759826682,5,160
100,subject_100,0,F2,0.5,20dB,A3_minus_A2,0.0002672972003274765,-0.0013909578323364202,-71,-2272
100,subject_100,0,F2,0.5,20dB,A3_minus_B4,-0.0021431608573951877,-0.004488134384155268,12,384
100,subject_100,0,F3,0.2,none,A3_minus_A2,-0.003785040499604264,0.0037240982055664062,-18,-576
100,subject_100,0,F3,0.2,none,A3_minus_B4,0.005714084851728529,-0.007693942384454366,2,64
100,subject_100,0,F3,0.2,20dB,A3_minus_A2,-0.01303625928285257,0.014794569806230742,-65,-2080
